id,displayName,itemName,logoPath,status,type,link,orderNo,nfc,_category_slug,_category_name
,Bakcell,bakcell,https://hesab.az/static-content/logos/merchant_images/bakcellnewpng77.png,1,LARGE_MERCHANT,,1,False,mobile,Mobil
,Nar,nar,https://hesab.az/static-content/logos/merchant_images/230x96narlogo.png,1,LARGE_MERCHANT,,2,False,mobile,Mobil
,Azercell,azercell,https://hesab.az/static-content/logos/merchant_images/azercell1.png,1,LARGE_MERCHANT,,3,False,mobile,Mobil
,ADSEA (Azərsu),azersu_direct,https://hesab.az/static-content/logos/merchant_images/azersunew.png.png,1,LARGE_MERCHANT,0,2147483647,False,utilities,Kommunal
,Azəriqaz (Qeyri-əhali),azeriqaz_qe,https://hesab.az/static-content/logos/merchant_images/azeriqaz2.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,Azəriqaz (Əhali),azeriqaz,https://hesab.az/static-content/logos/merchant_images/azeriqaz2.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,Azəriqaz Smart,smartqaz,https://hesab.az/static-content/logos/merchant_images/azeriqaz2.png,1,LARGE_MERCHANT,~/BillPay/Merchants/AzeriqazSmart.aspx,2147483647,False,utilities,Kommunal
,Azəristiliktəchizat,azeristilik,https://hesab.az/static-content/logos/merchant_images/azeristilik.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,Azərişıq (Qeyri-əhali) ,azerishiq_q,https://hesab.az/static-content/logos/merchant_images/bes.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
53,Azərişıq (Əhali),azerisiq,https://hesab.az/static-content/logos/category_icons/bes.png,1,Subcategory,,2147483647,False,utilities,Kommunal
,Bağça Şəhər,aralparking,https://hesab.az/static-content/logos/merchant_images/aralparking.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,BİNƏQƏDİ-29 MMMC,bineqedi_29,https://hesab.az/static-content/logos/merchant_images/bineqedimmmc.jpg,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,Chinar Park,chinar_park,https://hesab.az/static-content/logos/merchant_images/cinarpark.png.jpeg,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,Cyfral Bakı,cyfral_p,https://hesab.az/static-content/logos/merchant_images/cyfral_large.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,Domofon Servis,shb_az,https://hesab.az/static-content/logos/merchant_images/domofon.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
29,Grand Hayat,grandhayat,https://hesab.az/static-content/logos/bank_images/Grand_Hayat.png,1,Subcategory,,2147483647,False,utilities,Kommunal
,Greenville Residence,greenvile,https://hesab.az/static-content/logos/merchant_images/greenville.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
28,Güvənli-Servis Management,hayatmanagement,https://hesab.az/static-content/logos/merchant_images/guvenli.png,1,Subcategory,,2147483647,False,utilities,Kommunal
,Harmony residence,Harmony_residence,https://hesab.az/static-content/logos/merchant_images/harmony_montajs.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,İDEAL YAŞAM,idealyasham_,https://hesab.az/static-content/logos/merchant_images/ideal_yasham_new.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,JSAO,jsao,https://hesab.az/static-content/logos/merchant_images/jsao.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,KAYBA Domofon,kayba,https://hesab.az/static-content/logos/merchant_images/kayba.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,KnightsBridge - Xidmət haqqı,kbr_utilities,https://hesab.az/static-content/logos/merchant_images/kbr.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,Nizami City,nizami_city,https://hesab.az/static-content/logos/merchant_images/nizamycity.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
,NƏRİMANOV 31,narimanov_31,https://hesab.az/static-content/logos/merchant_images/narimanov_31.png,1,LARGE_MERCHANT,,2147483647,False,utilities,Kommunal
